Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16 O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment
6@19	17.93	-2355	-4390	2.66	2.13E+09	0.00204796	0.173	2.81E-02	-49	5	-11	0.00205047	22.58	
6@20	18.00	-2319	-4389	2.66	2.19E+09	0.00204491	0.145	2.73E-02	-49	5	-12	0.00204742	21.05	
6@21	18.08	-2283	-4388	2.66	2.23E+09	0.00204628	0.165	2.69E-02	-48	5	-12	0.00204879	21.74	
6@22	18.15	-2247	-4387	2.66	2.22E+09	0.00204657	0.184	2.71E-02	-48	5	-12	0.00204908	21.88	
6@23	18.22	-2211	-4386	2.65	2.19E+09	0.00204298	0.140	2.73E-02	-48	5	-13	0.00204548	20.09	
6@24	18.28	-2175	-4385	2.65	2.22E+09	0.00204413	0.172	2.71E-02	-48	4	-12	0.00204663	20.66	
6@25	18.35	-2139	-4384	2.65	2.21E+09	0.00204470	0.139	2.71E-02	-47	4	-12	0.00204720	20.95	
6@26	18.42	-2103	-4383	2.64	2.21E+09	0.00204599	0.168	2.72E-02	-47	4	-13	0.00204850	21.59	
6@27	18.48	-2067	-4382	2.64	2.21E+09	0.00204456	0.143	2.72E-02	-47	4	-13	0.00204706	20.88	
6@28	18.55	-2031	-4381	2.65	2.20E+09	0.00204491	0.163	2.70E-02	-47	4	-12	0.00204741	21.05	
6@29	18.62	-1995	-4380	2.66	2.20E+09	0.00204633	0.152	2.62E-02	-47	4	-12	0.00204884	21.76	
6@30	18.68	-1959	-4379	2.67	2.21E+09	0.00204595	0.152	2.59E-02	-47	3	-11	0.00204845	21.57	
6@31	18.88	-1923	-4378	2.70	2.23E+09	0.00204633	0.155	2.68E-02	-47	3	-12	0.00204884	21.76	
6@32	18.95	-1887	-4377	2.69	2.22E+09	0.00204710	0.185	2.69E-02	-47	4	-12	0.00204961	22.15	
6@33	19.02	-1851	-4376	2.68	2.23E+09	0.00204683	0.167	2.67E-02	-46	3	-12	0.00204934	22.01	
6@34	19.08	-1815	-4375	2.67	2.21E+09	0.00204681	0.174	2.59E-02	-46	3	-12	0.00204931	22.00	
7@01	13.77	3527	-2994	2.64	2.17E+09	0.00205124	0.159	2.65E-02	-30	5	-9	0.00205375	24.21	
7@02	13.83	3493	-3001	2.64	2.18E+09	0.00204836	0.191	2.55E-02	-30	5	-9	0.00205087	22.78	
7@03	13.90	3459	-3008	2.64	2.18E+09	0.00204874	0.140	2.35E-02	-30	6	-10	0.00205125	22.97	
7@04	13.97	3425	-3015	2.64	2.18E+09	0.00204738	0.173	2.40E-02	-30	5	-10	0.00204989	22.29	
7@05	14.03	3391	-3022	2.64	2.18E+09	0.00204560	0.170	2.40E-02	-30	6	-4	0.00204811	21.40	
7@06	14.10	3358	-3029	2.63	2.17E+09	0.00204847	0.172	2.32E-02	-31	5	-8	0.00205098	22.83	
7@07	14.30	3324	-3036	2.64	2.19E+09	0.00204683	0.152	2.68E-02	-31	5	-8	0.00204934	22.01	
7@08	14.37	3291	-3043	2.67	2.19E+09	0.00204360	0.170	2.74E-02	-31	7	-7	0.00204610	20.40	
7@09	14.43	3257	-3050	2.72	2.24E+09	0.00204679	0.164	2.65E-02	-32	5	-8	0.00204930	21.99	
7@10	14.50	3223	-3057	2.67	2.21E+09	0.00204452	0.163	2.63E-02	-32	5	-7	0.00204703	20.86	
7@11	14.57	3190	-3064	2.65	2.17E+09	0.00204517	0.196	2.76E-02	-32	6	-7	0.00204768	21.18	
7@12	14.63	3156	-3071	2.65	2.17E+09	0.00204918	0.171	2.76E-02	-32	6	-8	0.00205169	23.19	
7@13	14.70	3122	-3078	2.65	2.20E+09	0.00204967	0.159	2.72E-02	-32	5	-9	0.00205218	23.43	
7@14	14.77	3089	-3085	2.65	2.19E+09	0.00204953	0.182	2.73E-02	-32	5	-6	0.00205204	23.36	
7@15	14.83	3055	-3092	2.64	2.18E+09	0.00204968	0.190	2.68E-02	-33	5	-8	0.00205219	23.44	
7@16	14.90	3021	-3099	2.64	2.18E+09	0.00204907	0.174	2.44E-02	-33	5	-8	0.00205159	23.13	
7@17	14.97	2988	-3106	2.64	2.18E+09	0.00204654	0.144	2.74E-02	-32	5	-8	0.00204904	21.87	
7@18	15.03	2954	-3113	2.64	2.17E+09	0.00204818	0.174	2.57E-02	-33	4	-7	0.00205069	22.69	
7@19	15.12	2920	-3120	2.64	2.20E+09	0.00204797	0.201	2.72E-02	-33	5	-7	0.00205048	22.58	
7@20	15.18	2887	-3127	2.64	2.20E+09	0.00204554	0.134	2.73E-02	-33	5	-6	0.00204805	21.37	
7@21	15.25	2853	-3134	2.64	2.19E+09	0.00204425	0.188	2.74E-02	-33	4	-7	0.00204676	20.72	
7@22	15.45	2819	-3141	2.64	2.19E+09	0.00204489	0.158	2.74E-02	-33	5	-7	0.00204739	21.04	
7@23	15.52	2785	-3148	2.63	2.19E+09	0.00204582	0.156	2.74E-02	-33	5	-9	0.00204833	21.51	
7@24	15.58	2752	-3155	2.63	2.20E+09	0.00204421	0.158	2.73E-02	-33	5	-7	0.00204671	20.70	
7@25	15.65	2718	-3162	2.63	2.18E+09	0.00204329	0.160	2.75E-02	-34	4	-8	0.00204580	20.25	
7@26	15.72	2685	-3169	2.63	2.17E+09	0.00204320	0.138	2.77E-02	-34	4	-8	0.00204571	20.20	
7@27	15.78	2651	-3176	2.64	2.21E+09	0.00204490	0.197	2.72E-02	-34	5	-7	0.00204741	21.05	
7@28	15.85	2617	-3183	2.64	2.19E+09	0.00204566	0.153	2.73E-02	-34	4	-7	0.00204817	21.43	
7@29	15.92	2584	-3190	2.64	2.18E+09	0.00204733	0.192	2.75E-02	-34	5	-7	0.00204984	22.26	
7@30	15.98	2550	-3196	2.64	2.20E+09	0.00204709	0.148	2.72E-02	-34	4	-8	0.00204960	22.14	
7@31	16.05	2516	-3202	2.64	2.19E+09	0.00204642	0.171	2.74E-02	-34	4	-8	0.00204893	21.81	
7@32	16.12	2483	-3208	2.65	2.21E+09	0.00204636	0.181	2.72E-02	-34	5	-7	0.00204887	21.78	
7@33	16.18	2449	-3214	2.64	2.19E+09	0.00204635	0.145	2.74E-02	-35	4	-8	0.00204885	21.77	
7@34	16.25	2415	-3220	2.64	2.21E+09	0.00204590	0.161	2.71E-02	-35	5	-8	0.00204840	21.55	
7@35	16.32	2382	-3226	2.64	2.19E+09	0.00204683	0.184	2.74E-02	-35	4	-8	0.00204934	22.01	
7@36	16.38	2348	-3232	2.64	2.21E+09	0.00204603	0.156	2.71E-02	-35	5	-8	0.00204853	21.61	
8@01	10.98	5378	-1370	2.65	2.17E+09	0.00205366	0.193	2.76E-02	-14	7	-9	0.00205618	25.42	
8@02	11.07	5343	-1365	2.65	2.18E+09	0.00204960	0.159	2.76E-02	-14	7	-7	0.00205211	23.39	
8@03	11.13	5308	-1360	2.65	2.18E+09	0.00205015	0.163	2.75E-02	-14	7	-7	0.00205266	23.67	
8@04	11.20	5273	-1355	2.66	2.18E+09	0.00205148	0.156	2.75E-02	-15	7	-8	0.00205399	24.33	
8@05	11.27	5238	-1350	2.65	2.19E+09	0.00205414	0.187	2.74E-02	-15	6	-6	0.00205666	25.66	
8@06	11.33	5204	-1345	2.66	2.20E+09	0.00205769	0.190	2.72E-02	-15	7	-5	0.00206021	27.44	
8@07	11.40	5169	-1340	2.65	2.21E+09	0.00205479	0.162	2.71E-02	-15	6	-6	0.00205731	25.99	
8@08	11.47	5134	-1335	2.65	2.21E+09	0.00205545	0.131	2.72E-02	-15	6	-7	0.00205797	26.32	
8@09	11.53	5100	-1330	2.65	2.20E+09	0.00205449	0.172	2.73E-02	-15	6	-4	0.00205701	25.84	
8@10	11.60	5065	-1325	2.65	2.20E+09	0.00205361	0.177	2.73E-02	-16	6	-5	0.00205613	25.40	
8@11	11.67	5030	-1320	2.65	2.21E+09	0.00205317	0.174	2.71E-02	-15	6	-6	0.00205568	25.18	
8@12	11.73	4996	-1315	2.65	2.20E+09	0.00205211	0.180	2.72E-02	-15	6	-6	0.00205462	24.65	
8@13	11.80	4961	-1310	2.64	2.17E+09	0.00205336	0.198	2.77E-02	-16	5	-6	0.00205588	25.27	
8@14	12.00	4926	-1305	2.65	2.18E+09	0.00205225	0.202	2.74E-02	-17	6	-6	0.00205476	24.72	
8@15	12.07	4892	-1300	2.65	2.19E+09	0.00205194	0.176	2.73E-02	-16	6	-6	0.00205446	24.56	
8@16	12.13	4857	-1295	2.65	2.19E+09	0.00204963	0.174	2.74E-02	-16	5	-7	0.00205215	23.41	
8@17	12.20	4822	-1290	2.65	2.18E+09	0.00205057	0.159	2.75E-02	-16	5	-6	0.00205309	23.88	
8@18	12.28	4788	-1285	2.65	2.20E+09	0.00205176	0.188	2.73E-02	-16	6	-5	0.00205428	24.48	
8@19	12.35	4753	-1280	2.65	2.18E+09	0.00205060	0.200	2.76E-02	-16	6	-6	0.00205312	23.90	
8@20	12.42	4718	-1275	2.65	2.12E+09	0.00204850	0.171	2.82E-02	-17	6	-7	0.00205101	22.85	
8@21	12.48	4684	-1270	2.65	2.18E+09	0.00204909	0.157	2.76E-02	-17	6	-5	0.00205160	23.14	
8@22	12.55	4649	-1265	2.65	2.19E+09	0.00204503	0.172	2.73E-02	-17	5	-7	0.00204753	21.11	
8@23	12.62	4614	-1260	2.65	2.21E+09	0.00204425	0.165	2.71E-02	-17	5	-7	0.00204676	20.73	
8@24	12.68	4580	-1255	2.65	2.20E+09	0.00204563	0.185	2.72E-02	-16	6	-5	0.00204813	21.41	
8@25	12.75	4545	-1250	2.65	2.21E+09	0.00204702	0.172	2.72E-02	-17	5	-7	0.00204952	22.10	
8@26	12.82	4510	-1245	2.65	2.20E+09	0.00204659	0.176	2.73E-02	-17	5	-6	0.00204910	21.89	
8@27	12.88	4476	-1240	2.65	2.21E+09	0.00204582	0.181	2.72E-02	-17	6	-5	0.00204832	21.51	
8@28	12.95	4441	-1235	2.64	2.21E+09	0.00204625	0.163	2.71E-02	-17	5	-6	0.00204876	21.72	
8@29	13.15	4406	-1230	2.64	2.19E+09	0.00204592	0.173	2.74E-02	-17	5	-6	0.00204843	21.56	
8@30	13.22	4372	-1225	2.65	2.15E+09	0.00204609	0.181	2.79E-02	-17	6	-7	0.00204860	21.64	
8@31	13.28	4337	-1220	2.64	2.18E+09	0.00204713	0.178	2.75E-02	-17	5	-7	0.00204964	22.16	
8@32	13.35	4302	-1215	2.64	2.04E+09	0.00204428	0.172	2.94E-02	-17	6	-5	0.00204678	20.74	
8@33	13.42	4268	-1210	2.64	2.05E+09	0.00204550	0.206	2.93E-02	-17	6	-6	0.00204801	21.35	
8@34	13.48	4233	-1204	2.64	2.08E+09	0.00204631	0.167	2.88E-02	-17	4	-6	0.00204882	21.75	
8@35	13.55	4198	-1198	2.64	2.13E+09	0.00204669	0.180	2.82E-02	-18	5	-7	0.00204920	21.94	
8@36	13.62	4164	-1192	2.64	2.20E+09	0.00204662	0.187	2.72E-02	-17	6	-6	0.00204913	21.91	
8@37	13.68	4129	-1186	2.64	2.16E+09	0.00204773	0.127	2.77E-02	-18	5	-6	0.00205024	22.46	
9@01	6.50	5699	2773	2.64	2.22E+09	0.00205455	0.198	2.70E-02	28	-9	-8	0.00205707	25.87	
9@02	6.57	5690	2739	2.64	2.21E+09	0.00205275	0.193	2.71E-02	27	-9	-9	0.00205526	24.97	
9@03	6.63	5681	2705	2.64	2.20E+09	0.00205006	0.156	2.72E-02	27	-8	-10	0.00205257	23.63	
9@04	6.70	5672	2671	2.64	2.20E+09	0.00205322	0.196	2.73E-02	27	-8	-7	0.00205573	25.20	
9@05	6.78	5664	2637	2.64	2.21E+09	0.00205145	0.212	2.71E-02	27	-7	-8	0.00205396	24.32	
9@06	6.85	5655	2603	2.63	2.19E+09	0.00205301	0.185	2.73E-02	26	-7	-7	0.00205553	25.10	
9@07	6.92	5647	2569	2.63	2.20E+09	0.00205753	0.185	2.73E-02	26	-7	-7	0.00206005	27.35	
9@08	6.98	5638	2535	2.63	2.19E+09	0.00205401	0.191	2.74E-02	25	-7	-8	0.00205653	25.60	
9@09	7.05	5630	2501	2.63	2.17E+09	0.00205103	0.179	2.76E-02	25	-6	-8	0.00205355	24.11	
9@10	7.25	5621	2467	2.63	2.17E+09	0.00205780	0.181	2.75E-02	24	-7	-7	0.00206032	27.49	
9@11	7.32	5613	2433	2.62	2.18E+09	0.00204698	0.200	2.58E-02	24	-6	-7	0.00204949	22.09	
9@12	7.40	5604	2399	2.62	2.18E+09	0.00204880	0.229	2.68E-02	23	-5	-5	0.00205131	23.00	
9@13	7.47	5596	2365	2.62	2.19E+09	0.00204777	0.182	2.74E-02	22	-4	-5	0.00205028	22.48	
9@14	7.53	5587	2331	2.64	2.20E+09	0.00204814	0.186	2.73E-02	22	-5	-5	0.00205065	22.67	
9@15	7.60	5579	2297	2.62	2.19E+09	0.00205395	0.186	2.74E-02	22	-4	-6	0.00205647	25.57	
9@16	7.67	5570	2263	2.62	2.18E+09	0.00205552	0.185	2.75E-02	21	-5	-7	0.00205804	26.35	
9@17	7.73	5562	2229	2.62	2.19E+09	0.00205260	0.176	2.72E-02	20	-5	-7	0.00205511	24.89	
9@18	7.80	5553	2195	2.62	2.17E+09	0.00205424	0.203	2.74E-02	20	-4	-6	0.00205676	25.71	
9@19	7.87	5545	2161	2.62	2.18E+09	0.00205201	0.194	2.75E-02	20	-4	-7	0.00205452	24.60	
9@20	8.07	5536	2127	2.61	2.16E+09	0.00204759	0.171	2.78E-02	19	-2	-5	0.00205010	22.39	
9@21	8.13	5527	2093	2.61	2.15E+09	0.00204932	0.175	2.78E-02	19	-2	-6	0.00205183	23.25	
9@22	8.22	5519	2059	2.61	2.16E+09	0.00205779	0.173	2.78E-02	18	-2	-5	0.00206032	27.49	
9@23	8.28	5510	2025	2.61	2.16E+09	0.00205373	0.193	2.77E-02	18	-2	-6	0.00205624	25.45	
9@24	8.35	5502	1991	2.61	2.15E+09	0.00205349	0.194	2.68E-02	17	-3	-6	0.00205601	25.34	
9@25	8.42	5493	1957	2.61	2.17E+09	0.00204839	0.180	2.74E-02	17	-2	-7	0.00205090	22.79	
9@26	8.48	5485	1923	2.60	2.15E+09	0.00204604	0.151	2.79E-02	15	-2	-6	0.00204855	21.62	
9@27	8.55	5476	1889	2.60	2.16E+09	0.00204765	0.176	2.77E-02	16	0	-6	0.00205016	22.42	
9@28	8.62	5468	1855	2.60	2.15E+09	0.00205308	0.197	2.79E-02	16	-1	-5	0.00205559	25.13	
9@29	8.68	5459	1821	2.60	2.17E+09	0.00205374	0.185	2.77E-02	15	-1	-5	0.00205626	25.46	
9@30	8.88	5451	1787	2.60	2.16E+09	0.00205189	0.190	2.77E-02	15	-1	-5	0.00205441	24.54	
9@31	8.97	5442	1753	2.60	2.17E+09	0.00204913	0.156	2.74E-02	14	-1	-7	0.00205164	23.16	
9@32	9.03	5434	1719	2.60	2.15E+09	0.00204851	0.186	2.79E-02	13	-1	-6	0.00205102	22.85	
9@33	9.10	5425	1685	2.59	2.14E+09	0.00204858	0.201	2.80E-02	13	0	-6	0.00205109	22.88	
9@34	9.17	5417	1651	2.59	2.15E+09	0.00204980	0.185	2.80E-02	13	0	-6	0.00205231	23.49	
9@35	9.23	5408	1617	2.59	2.14E+09	0.00204810	0.174	2.80E-02	13	1	-5	0.00205061	22.64	
9@36	9.30	5400	1583	2.59	2.15E+09	0.00205071	0.211	2.79E-02	12	0	-5	0.00205323	23.95	
9@37	9.37	5391	1549	2.59	2.15E+09	0.00204749	0.155	2.79E-02	12	1	-5	0.00205000	22.34	
9@38	9.43	5382	1516	2.59	2.15E+09	0.00205091	0.161	2.79E-02	12	1	-8	0.00205342	24.05	
9@39	9.50	5374	1482	2.59	2.14E+09	0.00204930	0.173	2.78E-02	11	0	-7	0.00205181	23.24	
9@40	9.70	5365	1448	2.59	2.14E+09	0.00204689	0.201	2.78E-02	10	1	-6	0.00204940	22.04	
9@41	9.77	5357	1414	2.59	2.15E+09	0.00204687	0.196	2.79E-02	10	1	-5	0.00204938	22.03	
9@42	9.83	5348	1380	2.59	2.16E+09	0.00204731	0.194	2.78E-02	10	2	-6	0.00204982	22.25	
9@43	9.92	5340	1346	2.59	2.15E+09	0.00204714	0.168	2.79E-02	9	2	-6	0.00204965	22.17	
9@44	9.98	5331	1312	2.59	2.15E+09	0.00204589	0.154	2.79E-02	9	2	-6	0.00204840	21.54	
9@45	10.05	5323	1278	2.58	2.13E+09	0.00204575	0.165	2.82E-02	9	2	-6	0.00204826	21.47	
9@46	10.12	5314	1244	2.58	2.12E+09	0.00204848	0.162	2.82E-02	8	2	-7	0.00205099	22.83	
9@47	10.18	5306	1210	2.60	2.15E+09	0.00205235	0.213	2.79E-02	8	2	-6	0.00205486	24.77	
9@48	10.25	5297	1176	2.59	2.15E+09	0.00204961	0.199	2.79E-02	8	2	-7	0.00205212	23.40	
9@49	10.32	5289	1142	2.58	2.15E+09	0.00204900	0.207	2.79E-02	7	2	-6	0.00205151	23.09	
9@50	10.38	5280	1108	2.58	2.13E+09	0.00204927	0.128	2.81E-02	7	3	-6	0.00205178	23.23	
9@51	10.45	5272	1074	2.58	2.03E+09	0.00204684	0.211	2.96E-02	7	4	-6	0.00204935	22.02	
9@52	10.52	5263	1040	2.58	2.14E+09	0.00204944	0.167	2.80E-02	6	4	-7	0.00205195	23.31	
9@53	10.58	5255	1006	2.59	2.06E+09	0.00204007	0.319	2.91E-02	6	3	-6	0.00204257	18.64	check for e.g., crack
9@54	10.65	5246	972	2.63	2.17E+09	0.00204526	0.158	2.74E-02	5	3	-7	0.00204777	21.23	
9@55	10.85	5237	938	2.64	2.17E+09	0.00204580	0.186	2.67E-02	5	3	-7	0.00204831	21.50	
9@56	10.92	5230	904	2.65	2.19E+09	0.00204545	0.187	2.67E-02	5	3	-7	0.00204796	21.33	
10@01	2.30	5651	3277	2.71	2.24E+09	0.00205279	0.181	2.52E-02	36	-8	-4	0.00205530	24.99	
10@02	2.37	5635	3308	2.71	2.24E+09	0.00205206	0.189	2.49E-02	35	-8	-5	0.00205458	24.62	
10@03	2.43	5619	3339	2.71	2.22E+09	0.00204797	0.230	2.70E-02	36	-9	-4	0.00205048	22.58	
10@04	2.50	5604	3370	2.71	2.23E+09	0.00205336	0.186	2.36E-02	36	-10	-2	0.00205588	25.27	
10@05	2.58	5588	3401	2.71	2.25E+09	0.00205303	0.221	2.48E-02	37	-9	-5	0.00205555	25.11	
10@06	2.65	5573	3432	2.71	2.25E+09	0.00204735	0.183	2.43E-02	35	-10	-4	0.00204986	22.27	
10@07	2.72	5557	3463	2.70	2.24E+09	0.00204839	0.180	2.61E-02	36	-11	-6	0.00205090	22.79	
10@08	2.78	5542	3494	2.70	2.24E+09	0.00205560	0.242	2.47E-02	36	-12	-5	0.00205812	26.39	
10@09	2.85	5526	3525	2.70	2.23E+09	0.00204917	0.224	2.65E-02	38	-12	-6	0.00205168	23.18	
10@10	2.92	5511	3556	2.71	2.24E+09	0.00204968	0.164	2.67E-02	38	-12	-3	0.00205220	23.44	
10@11	3.13	5495	3587	2.70	2.23E+09	0.00205503	0.210	2.39E-02	38	-12	-4	0.00205755	26.11	
10@12	3.20	5480	3618	2.69	2.21E+09	0.00204827	0.169	2.52E-02	38	-12	-4	0.00205078	22.73	
10@13	3.27	5464	3649	2.70	2.24E+09	0.00204844	0.178	2.57E-02	38	-12	-4	0.00205095	22.81	
10@14	3.33	5449	3680	2.70	2.26E+09	0.00204922	0.186	2.65E-02	39	-13	-7	0.00205173	23.20	
10@15	3.40	5433	3711	2.71	2.27E+09	0.00205097	0.182	2.55E-02	39	-15	-4	0.00205349	24.08	
10@16	3.47	5418	3742	2.72	2.27E+09	0.00204898	0.224	2.64E-02	39	-15	-6	0.00205149	23.08	
10@17	3.55	5402	3773	2.71	2.27E+09	0.00204978	0.234	2.62E-02	40	-14	-5	0.00205229	23.48	
10@18	3.62	5387	3804	2.71	2.27E+09	0.00204820	0.195	2.64E-02	39	-14	-4	0.00205071	22.69	
10@19	3.68	5371	3835	2.72	2.27E+09	0.00205651	0.197	2.63E-02	40	-14	-5	0.00205903	26.85	
10@20	3.75	5356	3866	2.73	2.26E+09	0.00205195	0.181	2.53E-02	40	-14	-5	0.00205446	24.57	
10@21	3.95	5340	3897	2.72	2.25E+09	0.00204770	0.181	2.66E-02	40	-13	-5	0.00205021	22.45	
10@22	4.03	5325	3928	2.71	2.26E+09	0.00204601	0.151	2.60E-02	41	-16	-7	0.00204852	21.60	
10@23	4.10	5309	3959	2.70	2.25E+09	0.00205190	0.184	2.40E-02	41	-17	-7	0.00205442	24.54	
10@24	4.17	5294	3990	2.70	2.24E+09	0.00204919	0.227	2.45E-02	41	-17	-6	0.00205170	23.19	
10@25	4.23	5278	4021	2.69	2.25E+09	0.00204689	0.192	2.48E-02	41	-15	-8	0.00204940	22.04	
10@26	4.30	5263	4052	2.69	2.27E+09	0.00204699	0.219	2.64E-02	42	-17	-6	0.00204950	22.09	
10@27	4.37	5247	4083	2.69	2.25E+09	0.00205258	0.182	2.57E-02	42	-17	-4	0.00205510	24.88	
10@28	4.43	5232	4114	2.69	2.26E+09	0.00204660	0.166	2.65E-02	42	-18	-5	0.00204911	21.90	
10@29	4.50	5217	4145	2.69	2.24E+09	0.00204942	0.215	2.64E-02	43	-18	-6	0.00205193	23.31	
10@30	4.57	5201	4176	2.68	2.24E+09	0.00204604	0.181	2.63E-02	44	-18	-6	0.00204855	21.62	
10@31	4.78	5186	4207	2.68	2.24E+09	0.00204554	0.203	2.68E-02	44	-18	-8	0.00204805	21.37	
10@32	4.85	5170	4238	2.68	2.23E+09	0.00204724	0.202	2.69E-02	44	-19	-7	0.00204975	22.22	
10@33	4.92	5155	4269	2.68	2.25E+09	0.00204759	0.152	2.67E-02	44	-18	-5	0.00205010	22.39	
10@34	4.98	5139	4300	2.67	2.26E+09	0.00205100	0.234	2.66E-02	45	-19	-8	0.00205351	24.09	
10@35	5.05	5124	4331	2.67	2.25E+09	0.00204699	0.159	2.67E-02	44	-19	-7	0.00204950	22.09	
10@36	5.12	5108	4362	2.68	2.26E+09	0.00204740	0.212	2.66E-02	45	-19	-7	0.00204991	22.30	
10@37	5.20	5093	4393	2.67	2.26E+09	0.00204951	0.165	2.66E-02	46	-20	-7	0.00205202	23.35	
10@38	5.27	5077	4424	2.67	2.24E+09	0.00204504	0.198	2.68E-02	45	-19	-7	0.00204755	21.12	
10@39	5.33	5062	4455	2.67	2.23E+09	0.00204387	0.225	2.68E-02	46	-20	-9	0.00204638	20.54	
10@40	5.40	5046	4486	2.67	2.24E+09	0.00204642	0.215	2.68E-02	46	-20	-8	0.00204893	21.81	
10@41	5.60	5031	4517	2.66	2.24E+09	0.00204428	0.194	2.68E-02	46	-19	-7	0.00204679	20.74	
10@42	5.67	5015	4548	2.66	2.24E+09	0.00204593	0.200	2.67E-02	47	-20	-7	0.00204844	21.56	
10@43	5.75	5000	4579	2.66	2.21E+09	0.00204554	0.176	2.72E-02	47	-21	-8	0.00204805	21.37	
10@44	5.82	4984	4610	2.66	2.22E+09	0.00205114	0.191	2.70E-02	47	-22	-6	0.00205365	24.16	
10@45	5.88	4969	4641	2.66	2.23E+09	0.00204830	0.185	2.69E-02	48	-21	-9	0.00205081	22.74	
10@46	5.95	4953	4672	2.66	2.23E+09	0.00204538	0.156	2.69E-02	48	-22	-8	0.00204789	21.29	
10@47	6.02	4938	4703	2.66	2.21E+09	0.00204562	0.201	2.72E-02	49	-22	-8	0.00204813	21.41	
10@48	6.08	4923	4734	2.65	2.15E+09	0.00204409	0.172	2.79E-02	49	-22	-6	0.00204660	20.64	
10@49	6.15	4907	4765	2.66	2.23E+09	0.00204434	0.188	2.69E-02	49	-22	-6	0.00204685	20.77	
10@50	6.23	4891	4796	2.65	2.07E+09	0.00204401	0.160	2.90E-02	50	-21	-8	0.00204651	20.60	
10@51	6.43	4877	4827	2.64	2.22E+09	0.00204576	0.221	2.68E-02	49	-24	-7	0.00204826	21.48	
