Analysis	Date	time	start (h)	east-west	north-south	current (nA)	ions per sec	measured	(?)	(bits)	(bits)	slit (bits)	IMF Corrected	d18O SMOW	(?)	
F1-18O-Pt@02	12.02.2021	04:00:00	15.92	-100	-2965	1.1	2.34E+09	0.00205262	0.12	11	16	4	0.0020603	27.48	0.12	
F1-18O-Pt@03	12.02.2021	04:04:00	15.98	40	-2975	1.11	2.34E+09	0.00205409	0.11	12	14	4	0.00206177	28.21	0.11	
F1-18O-Pt@04	12.02.2021	04:08:00	16.05	27	-3037	1.11	2.33E+09	0.00205395	0.13	12	15	2	0.00206163	28.14	0.13	
F1-18O-Pt@05	12.02.2021	04:12:00	16.12	138	-3059	1.12	2.35E+09	0.00205804	0.11	13	14	4	0.00206574	30.19	0.11	
F1-18O-Pt@06	12.02.2021	04:16:00	16.18	124	-3150	1.09	2.33E+09	0.00205215	0.09	13	17	5	0.00205982	27.24	0.09	
F1-18O-Pt@07	12.02.2021	04:19:00	16.23	240	-3172	1.1	2.31E+09	0.00205164	0.12	14	15	4	0.00205932	26.99	0.12	
F1-18O-Pt@08	12.02.2021	04:23:00	16.3	214	-3222	1.08	2.34E+09	0.00205223	0.07	14	16	4	0.00205991	27.28	0.07	
F1-18O-Pt@09	12.02.2021	04:27:00	16.37	399	-3266	1.1	2.31E+09	0.00204917	0.1	14	16	4	0.00205683	25.75	0.1	
F1-18O-Pt@1	12.02.2021	03:56:00	15.85	-87	-2903	1.11	2.34E+09	0.00205966	0.09	11	14	7	0.00206737	31	0.09	
F1-18O-Pt@10	12.02.2021	04:31:00	16.43	386	-3336	1.1	2.36E+09	0.0020503	0.13	15	17	4	0.00205797	26.32	0.13	
F1-18O-Pt@11	12.02.2021	04:35:00	16.5	547	-3359	1.11	2.34E+09	0.0020497	0.12	16	16	4	0.00205737	26.02	0.12	
F1-18O-Pt@12	12.02.2021	04:39:00	16.57	537	-3433	1.1	2.35E+09	0.00204888	0.11	16	17	2	0.00205655	25.61	0.11	
F1-O18-trans@02	12.02.2021	01:14:00	13.15	-96	-2779	1.11	2.37E+09	0.00205526	0.1	10	13	5	0.00206295	28.8	0.1	
F1-O18-trans@03	12.02.2021	01:17:00	13.2	-57	-2809	1.11	2.39E+09	0.00205516	0.11	11	14	2	0.00206285	28.75	0.11	
F1-O18-trans@04	12.02.2021	01:21:00	13.27	-18	-2839	1.12	2.39E+09	0.00205907	0.1	11	14	3	0.00206677	30.71	0.1	
F1-O18-trans@05	12.02.2021	01:25:00	13.33	21	-2869	1.12	2.41E+09	0.00205347	0.1	11	13	1	0.00206115	27.9	0.1	
F1-O18-trans@06	12.02.2021	01:29:00	13.4	60	-2899	1.11	2.37E+09	0.00205288	0.1	12	13	4	0.00206057	27.61	0.1	
F1-O18-trans@07	12.02.2021	01:33:00	13.47	99	-2929	1.11	2.39E+09	0.00205323	0.08	11	14	2	0.00206091	27.78	0.08	
F1-O18-trans@08	12.02.2021	01:41:00	13.6	138	-2959	1.11	1.64E+09	0.00205196	0.11	12	10	7	0.00205963		0.11	low count rate, discard
F1-O18-trans@09	12.02.2021	01:45:00	13.67	177	-2989	1.12	2.38E+09	0.00205355	0.12	12	14	1	0.00206124	27.95	0.12	
F1-O18-trans@01	12.02.2021	01:10:00	13.08	-134	-2749	1.11	2.39E+09	0.00205498	0.1	10	12	4	0.00206267	28.66	0.1	
F1-O18-trans@10	12.02.2021	01:49:00	13.73	216	-3019	1.12	2.39E+09	0.00205617	0.1	12	14	4	0.00206387	29.26	0.1	
F1-O18-trans@11	12.02.2021	01:52:00	13.78	255	-3049	1.12	2.28E+09	0.00205285	0.12	13	14	4	0.00206053	27.6	0.12	
F1-O18-trans@12	12.02.2021	01:56:00	13.85	294	-3079	1.12	2.41E+09	0.0020568	0.12	13	14	3	0.00206449	29.57	0.12	
F1-O18-trans@13	12.02.2021	02:00:00	13.92	333	-3109	1.12	2.37E+09	0.00205445	0.07	13	14	3	0.00206214	28.39	0.07	
F1-O18-trans@14	12.02.2021	02:04:00	13.98	372	-3138	1.12	2.38E+09	0.00205206	0.1	13	14	3	0.00205974	27.2	0.1	
F1-O18-trans@15	12.02.2021	02:08:00	14.05	411	-3167	1.12	2.40E+09	0.002054	0.07	14	15	3	0.00206169	28.17	0.07	
F1-O18-trans@16	12.02.2021	02:12:00	14.12	450	-3196	1.12	2.44E+09	0.00205029	0.12	14	14	1	0.00205796	26.31	0.12	
F1-O18-trans@17	12.02.2021	02:16:00	14.18	478	-3217	1.12	2.44E+09	0.00205012	0.08	14	14	2	0.0020578	26.23	0.08	
F1-O18-trans@18	12.02.2021	02:19:00	14.23	506	-3238	1.12	2.41E+09	0.00205005	0.08	14	14	4	0.00205772	26.19	0.08	
F1-O18-trans@19	12.02.2021	02:23:00	14.3	534	-3259	1.11	2.41E+09	0.00205255	0.11	14	14	4	0.00206023	27.44	0.11	
F1-O18-trans@20	12.02.2021	02:27:00	14.37	562	-3280	1.1	2.39E+09	0.00205362	0.09	15	14	3	0.0020613	27.98	0.09	
F1-O18-trans@21	12.02.2021	02:31:00	14.43	591	-3301	1.09	2.38E+09	0.00205088	0.09	15	15	3	0.00205855	26.61	0.09	
F1-O18-trans@22	12.02.2021	02:35:00	14.5	619	-3322	1.09	2.36E+09	0.00204893	0.08	15	15	4	0.00205659	25.63	0.08	
F1-O18-trans@23	12.02.2021	02:39:00	14.57	647	-3343	1.09	2.37E+09	0.00204854	0.12	15	15	6	0.00205621	25.44	0.12	
F1-O18-trans@24	12.02.2021	02:51:00	14.77	676	-3364	1.08	2.39E+09	0.0020491	0.12	15	16	4	0.00205677	25.72	0.12	
F1-O18-trans@25	12.02.2021	02:54:00	14.82	704	-3385	1.09	2.36E+09	0.00205415	0.1	15	16	3	0.00206184	28.25	0.1	
F1-O18-trans@26	12.02.2021	02:58:00	14.88	732	-3406	1.08	2.38E+09	0.0020527	0.07	16	16	5	0.00206038	27.52	0.07	
F1-O18-trans@27	12.02.2021	03:02:00	14.95	760	-3427	1.08	2.37E+09	0.00205084	0.08	16	16	4	0.00205851	26.59	0.08	
F1-O18-trans@28	12.02.2021	03:06:00	15.02	789	-3448	1.08	2.36E+09	0.00204839	0.12	16	15	3	0.00205605	25.36	0.12	
F1-O18-trans@29	12.02.2021	03:10:00	15.08	817	-3469	1.08	2.36E+09	0.00204956	0.07	16	15	2	0.00205723	25.95	0.07	
F1-O18-trans@30	12.02.2021	03:14:00	15.15	845	-3489	1.08	2.38E+09	0.00204969	0.12	17	15	3	0.00205736	26.01	0.12	
F1-O18-trans@31	12.02.2021	03:18:00	15.22	874	-3509	1.08	2.25E+09	0.00204801	0.12	17	15	2	0.00205567	25.17	0.12	
F1-O18-trans@32	12.02.2021	03:21:00	15.27	902	-3529	1.09	2.30E+09	0.00204745	0.13	16	16	0	0.00205512	24.89	0.13	
F1-O18-trans@33	12.02.2021	03:25:00	15.33	930	-3549	1.09	1.95E+09	0.00204254	0.1	14	24	7	0.00205019		0.1	low count rate, discard
F1-O18-trans@34	12.02.2021	03:29:00	15.4	958	-3569	1.09	2.21E+09	0.00204729	0.11	15	20	5	0.00205495	24.81	0.11	
F1-O18-trans@35	12.02.2021	03:33:00	15.47	987	-3589	1.1	2.41E+09	0.0020497	0.09	17	18	2	0.00205737	26.02	0.09	
F1-O18-trans@36	12.02.2021	03:37:00	15.53	1015	-3609	1.1	2.44E+09	0.00204935	0.11	17	17	2	0.00205701	25.84	0.11	
F1-O18-trans@37	12.02.2021	03:41:00	15.6	1043	-3629	1.12	2.44E+09	0.00204975	0.08	17	17	2	0.00205742	26.04	0.08	
